"Index" "HEOpen" "HEHigh" "HELow" "HEClose" "HEVolume" "HEAdjusted"
"2012-01-31" 56.349998 56.459999 55.02 56.299999 7792400 48.254456
"2012-02-01" 56.84 57.09 56.23 56.73 5227400 48.622993
"2012-02-02" 56.889999 58.049999 56.529999 57.810001 5330200 49.548653
"2012-02-03" 58.689999 60.650002 58.349998 60.380001 6484000 51.751404
"2012-02-06" 59.869999 61.169998 59.540001 61.119999 4176700 52.385651
"2012-02-07" 60.779999 62.48 60.150002 61.18 8031800 52.437073
"2012-02-08" 61.48 61.48 60.09 60.459999 6281700 51.819981
"2012-02-09" 60.75 63.450001 60.73 63.25 8076900 54.211258
"2012-02-10" 62.040001 62.860001 61.73 61.82 4598400 52.985615
"2012-02-13" 62.740002 63.439999 61.950001 62.259998 3148600 53.362728
"2012-02-14" 62.150002 62.450001 61.34 61.900002 3318800 53.054176
"2012-02-15" 62.130001 65.050003 62 64.129997 7796200 54.965496
"2012-02-16" 64.07 65.07 63.66 64.879997 4377800 55.608326
"2012-02-17" 65.349998 65.800003 64.440002 65.150002 4137100 55.839748
"2012-02-21" 65.150002 67.019997 65.150002 65.5 5106800 56.139721
"2012-02-22" 65.949997 65.949997 64.470001 65.230003 3658300 55.90831
"2012-02-23" 65.309998 66.389999 64.589996 66.379997 3515700 56.893967
"2012-02-24" 66.650002 67.279999 66.5 67 3561400 57.425354
"2012-02-27" 66.559998 67.860001 66.459999 67 3863200 57.425354
"2012-02-28" 67.059998 67.470001 65.410004 65.860001 4353900 56.448284
"2012-02-29" 65.870003 66.360001 64.790001 64.919998 4705000 55.642597
"2012-03-01" 65.349998 66.830002 65.330002 66.160004 4170000 56.70541
"2012-03-02" 65.839996 66.349998 65.110001 65.43 4334900 56.07972
"2012-03-05" 65.010002 65.25 63.880001 64.699997 4131000 55.454044
"2012-03-06" 63.610001 63.91 62.5 63.5 4421200 54.425541
"2012-03-07" 63.669998 64.669998 62.849998 64.139999 2628900 54.974079
"2012-03-08" 64.790001 65.150002 63.369999 64.559998 3450300 55.334038
"2012-03-09" 64.370003 64.580002 62.869999 63.040001 5441900 54.031273
"2012-03-12" 63.09 63.25 61.849998 62.669998 4934800 53.714146
"2012-03-13" 62.91 63.169998 62 63.009998 3444600 54.005554
"2012-03-14" 63 63.799999 61.389999 61.77 4468600 53.026909
"2012-03-15" 61.849998 62.650002 61.27 61.490002 4143600 52.786545
"2012-03-16" 61.700001 63.009998 61.639999 62.549999 5001100 53.696507
"2012-03-19" 62.549999 63.669998 62.5 63.27 2622600 54.314598
"2012-03-20" 62.59 62.59 61.5 61.689999 2715000 52.958233
"2012-03-21" 61.720001 61.84 60.880001 61.220001 3621900 52.55476
"2012-03-22" 60.650002 60.779999 58.790001 59.220001 4990800 50.837849
"2012-03-23" 59.220001 60.049999 58.560001 59.860001 3751700 51.387257
"2012-03-26" 60.66 60.73 59.759998 60.139999 3181400 51.627617
"2012-03-27" 60.349998 60.490002 59.639999 59.669998 2666100 51.224152
"2012-03-28" 59.23 59.5 58.029999 58.630001 3933800 50.331356
"2012-03-29" 58.07 58.650002 57.349998 58.43 3832700 50.159664
"2012-03-30" 58.830002 59.279999 58.139999 58.950001 2663800 50.606064
"2012-04-02" 58.709999 60.200001 58.639999 59.549999 3352700 51.121132
"2012-04-03" 59.419998 59.529999 58.380001 58.939999 2948600 50.597473
"2012-04-04" 58.189999 58.900002 57.700001 58.580002 4537900 50.288429
"2012-04-05" 57.849998 59.049999 57.540001 57.869999 3336700 49.678932
"2012-04-09" 56.529999 57.450001 56.380001 56.740002 2927500 48.70887
"2012-04-10" 56.869999 56.990002 55.169998 55.450001 3524800 47.60146
"2012-04-11" 56.130001 56.400002 55.259998 55.470001 3898700 47.618626
"2012-04-12" 55.630001 56.93 55.549999 56.66 3376000 48.640198
"2012-04-13" 56.400002 56.650002 55.25 55.279999 3245300 47.455517
"2012-04-16" 55.57 55.860001 54.080002 54.259998 3567200 46.579891
"2012-04-17" 54.880001 55.93 54.610001 55.57 3130900 47.704479
"2012-04-18" 55.380001 55.830002 54.849998 55.150002 2454400 47.343922
"2012-04-19" 55.279999 56 54.93 55.25 2485000 47.429768
"2012-04-20" 55.66 56.25 55 55.07 3188900 47.275242
"2012-04-23" 53.830002 54.349998 53.080002 54.119999 4340600 46.459709
"2012-04-24" 54.130001 55.299999 53.91 55.040001 4476000 47.249493
"2012-04-25" 56.049999 56.189999 50.310001 51.18 20989300 43.935852
"2012-04-26" 50.779999 53.189999 50.709999 51.75 11646300 44.425179
"2012-04-27" 51.810001 51.98 51.220001 51.540001 8290000 44.2449
"2012-04-30" 51.540001 52.48 51.349998 52.139999 5280800 44.759964
